Name,Traits,Free Hours
Winne,Analytical[3];Organized[2];Time-Manager[3];Narrow-Minded[-2];Uncooperative[-2],7
Emera,Resourceful[2];Mediator[2];Problem-Solver[3];Impulsive[-1];Indecisive[-2],35
Caron,Supportive[2];Logical[3];Detail-Oriented[3];Overbearing[-1];Overly Competitive[-1],16
Twila,Communicative[2];Empathetic[3];Problem-Solver[3];Non-communicative[-2];Overly Critical[-2],17
Tresa,Flexible[2];Creative Thinker[2];Logical[3];Stubborn[-1];Overbearing[-1],2
Goldi,Diplomatic[2];Creative Thinker[2];Empathetic[3];Rigid[-2];Dismissive[-2],24
Timi,Innovative[2];Tech-Savvy[2];Analytical[3];Easily Distracted[-1];Impulsive[-1],39
Melany,Detail-Oriented[3];Mediator[2];Strategic[3];Skeptical[-1];Aloof[-1],35
Katlin,Time-Manager[3];Organized[2];Detail-Oriented[3];Indecisive[-2];Intolerant[-2],25
Adriane,Analytical[3];Collaborative[2];Time-Manager[3];Intolerant[-2];Moody[-1],15
Blair,Resourceful[2];Detail-Oriented[3];Analytical[3];Overly Competitive[-1];Micromanaging[-2],3
Merline,Organized[2];Logical[3];Tech-Savvy[2];Uncooperative[-2];Aloof[-1],15
Dayna,Supportive[2];Logical[3];Innovative[2];Uncooperative[-2];Defensive[-1],16
Glennie,Problem-Solver[3];Leadership[4];Tech-Savvy[2];Overly Competitive[-1];Unempathetic[-2],13
Guillemette,Empathetic[3];Time-Manager[3];Collaborative[2];Unreliable[-3];Overbearing[-1],14
Dore,Tech-Savvy[2];Collaborative[2];Communicative[2];Narrow-Minded[-2];Uncooperative[-2],23
Farand,Tech-Savvy[2];Mediator[2];Problem-Solver[3];Rigid[-2];Indecisive[-2],24
Sonia,Tech-Savvy[2];Collaborative[2];Reliable[3];Micromanaging[-2];Pessimistic[-1],30
Georgine,Empathetic[3];Detail-Oriented[3];Resourceful[2];Pessimistic[-1];Moody[-1],39
Shelbi,Innovative[2];Detail-Oriented[3];Problem-Solver[3];Perfectionist (to a fault)[-1];Dismissive[-2],35
Charita,Communicative[2];Creative Thinker[2];Analytical[3];Pessimistic[-1];Overly Critical[-2],36
Sibel,Logical[3];Problem-Solver[3];Creative Thinker[2];Skeptical[-1];Uncooperative[-2],2
Horatia,Resourceful[2];Creative Thinker[2];Diplomatic[2];Unempathetic[-2];Micromanaging[-2],30
Emmalyn,Logical[3];Time-Manager[3];Resourceful[2];Dismissive[-2];Perfectionist (to a fault)[-1],20
Ora,Leadership[4];Mediator[2];Time-Manager[3];Passive[-1];Rigid[-2],33
Kelsi,Analytical[3];Logical[3];Reliable[3];Conflict-Averse[-2];Narrow-Minded[-2],39
Felisha,Time-Manager[3];Problem-Solver[3];Communicative[2];Unempathetic[-2];Non-communicative[-2],0
Lora,Flexible[2];Diplomatic[2];Leadership[4];Micromanaging[-2];Unempathetic[-2],11
Adena,Leadership[4];Strategic[3];Creative Thinker[2];Impatient[-1];Overly Critical[-2],32
Didi,Communicative[2];Time-Manager[3];Tech-Savvy[2];Skeptical[-1];Procrastinator[-3],38
Dasi,Creative Thinker[2];Innovative[2];Time-Manager[3];Non-communicative[-2];Perfectionist (to a fault)[-1],18
Cathie,Analytical[3];Leadership[4];Tech-Savvy[2];Unempathetic[-2];Overly Competitive[-1],24
Jobyna,Detail-Oriented[3];Reliable[3];Flexible[2];Aloof[-1];Easily Distracted[-1],35
Maryrose,Analytical[3];Supportive[2];Leadership[4];Micromanaging[-2];Procrastinator[-3],13
Celina,Empathetic[3];Collaborative[2];Problem-Solver[3];Uncooperative[-2];Resistant to Change[-2],14
Dorree,Collaborative[2];Tech-Savvy[2];Logical[3];Conflict-Averse[-2];Indecisive[-2],37
Shannen,Leadership[4];Time-Manager[3];Flexible[2];Micromanaging[-2];Dismissive[-2],31
Arlyne,Tech-Savvy[2];Collaborative[2];Supportive[2];Procrastinator[-3];Unempathetic[-2],17
Meggie,Creative Thinker[2];Problem-Solver[3];Analytical[3];Moody[-1];Skeptical[-1],32
Beatrice,Leadership[4];Tech-Savvy[2];Analytical[3];Narrow-Minded[-2];Non-communicative[-2],20
Madge,Organized[2];Logical[3];Empathetic[3];Non-communicative[-2];Resistant to Change[-2],28
Elwira,Diplomatic[2];Tech-Savvy[2];Logical[3];Moody[-1];Unempathetic[-2],31
Halette,Detail-Oriented[3];Analytical[3];Organized[2];Indecisive[-2];Narrow-Minded[-2],24
Laurene,Diplomatic[2];Supportive[2];Creative Thinker[2];Overbearing[-1];Dismissive[-2],35
Stella,Flexible[2];Analytical[3];Supportive[2];Non-communicative[-2];Impatient[-1],32
Beilul,Creative Thinker[2];Strategic[3];Time-Manager[3];Defensive[-1];Unempathetic[-2],26
Simone,Tech-Savvy[2];Problem-Solver[3];Time-Manager[3];Uncooperative[-2];Overly Critical[-2],36
Julina,Mediator[2];Detail-Oriented[3];Creative Thinker[2];Overbearing[-1];Overly Competitive[-1],28
Joceline,Leadership[4];Diplomatic[2];Tech-Savvy[2];Dismissive[-2];Impulsive[-1],30
Willi,Leadership[4];Organized[2];Diplomatic[2];Overly Critical[-2];Overbearing[-1],6
Ophelie,Mediator[2];Logical[3];Reliable[3];Micromanaging[-2];Impatient[-1],1
Ardys,Innovative[2];Problem-Solver[3];Leadership[4];Unreliable[-3];Passive[-1],8
Ollie,Innovative[2];Mediator[2];Resourceful[2];Easily Distracted[-1];Narrow-Minded[-2],19
Binni,Tech-Savvy[2];Mediator[2];Flexible[2];Perfectionist (to a fault)[-1];Pessimistic[-1],30
Nixie,Mediator[2];Resourceful[2];Strategic[3];Impulsive[-1];Stubborn[-1],27
Marleah,Resourceful[2];Collaborative[2];Creative Thinker[2];Defensive[-1];Overly Critical[-2],11
Waly,Creative Thinker[2];Organized[2];Time-Manager[3];Indecisive[-2];Overly Critical[-2],15
Karlotta,Reliable[3];Problem-Solver[3];Strategic[3];Stubborn[-1];Micromanaging[-2],34
Helge,Analytical[3];Diplomatic[2];Time-Manager[3];Perfectionist (to a fault)[-1];Impulsive[-1],23
Druci,Innovative[2];Empathetic[3];Time-Manager[3];Pessimistic[-1];Stubborn[-1],15
Marnie,Organized[2];Tech-Savvy[2];Leadership[4];Intolerant[-2];Pessimistic[-1],28
Ardisj,Leadership[4];Resourceful[2];Analytical[3];Non-communicative[-2];Intolerant[-2],37
Hedi,Communicative[2];Leadership[4];Tech-Savvy[2];Dismissive[-2];Overly Competitive[-1],34
Morena,Tech-Savvy[2];Reliable[3];Problem-Solver[3];Indecisive[-2];Dismissive[-2],40
Victoria,Tech-Savvy[2];Empathetic[3];Organized[2];Passive[-1];Overbearing[-1],29
Kelcie,Communicative[2];Mediator[2];Analytical[3];Passive[-1];Procrastinator[-3],24
Gaylene,Leadership[4];Innovative[2];Mediator[2];Moody[-1];Dismissive[-2],9
Daffy,Creative Thinker[2];Flexible[2];Collaborative[2];Indecisive[-2];Perfectionist (to a fault)[-1],16
Erma,Problem-Solver[3];Strategic[3];Creative Thinker[2];Moody[-1];Narrow-Minded[-2],10
Alfie,Innovative[2];Reliable[3];Mediator[2];Stubborn[-1];Skeptical[-1],39
Lorry,Strategic[3];Time-Manager[3];Supportive[2];Unreliable[-3];Easily Distracted[-1],34
Adria,Flexible[2];Diplomatic[2];Leadership[4];Non-communicative[-2];Micromanaging[-2],17
Emmy,Strategic[3];Collaborative[2];Diplomatic[2];Conflict-Averse[-2];Easily Distracted[-1],14
Roxane,Mediator[2];Detail-Oriented[3];Creative Thinker[2];Overly Critical[-2];Overbearing[-1],23
Mala,Innovative[2];Mediator[2];Diplomatic[2];Overbearing[-1];Impulsive[-1],36
Avivah,Diplomatic[2];Problem-Solver[3];Strategic[3];Unreliable[-3];Stubborn[-1],26
Marleah,Strategic[3];Mediator[2];Leadership[4];Defensive[-1];Overly Competitive[-1],24
Karil,Reliable[3];Flexible[2];Diplomatic[2];Aloof[-1];Indecisive[-2],37
Marsiella,Resourceful[2];Strategic[3];Communicative[2];Easily Distracted[-1];Conflict-Averse[-2],24
Emmalyn,Supportive[2];Communicative[2];Organized[2];Dismissive[-2];Procrastinator[-3],7
Othilia,Strategic[3];Empathetic[3];Supportive[2];Unreliable[-3];Intolerant[-2],26
Alida,Analytical[3];Communicative[2];Resourceful[2];Aloof[-1];Overbearing[-1],36
Marinna,Creative Thinker[2];Strategic[3];Collaborative[2];Unempathetic[-2];Passive[-1],33
Annalise,Supportive[2];Flexible[2];Innovative[2];Impulsive[-1];Skeptical[-1],9
Trudi,Creative Thinker[2];Problem-Solver[3];Time-Manager[3];Impatient[-1];Micromanaging[-2],14
Eda,Empathetic[3];Mediator[2];Innovative[2];Dismissive[-2];Impatient[-1],13
Gwenny,Empathetic[3];Analytical[3];Organized[2];Overbearing[-1];Non-communicative[-2],11
Tim,Analytical[3];Reliable[3];Communicative[2];Rigid[-2];Unempathetic[-2],5
Ailis,Organized[2];Empathetic[3];Supportive[2];Non-communicative[-2];Easily Distracted[-1],32
Kellyann,Reliable[3];Analytical[3];Time-Manager[3];Moody[-1];Defensive[-1],15
Norean,Resourceful[2];Logical[3];Creative Thinker[2];Skeptical[-1];Micromanaging[-2],6
Camila,Logical[3];Collaborative[2];Diplomatic[2];Impulsive[-1];Non-communicative[-2],17
Carolann,Mediator[2];Empathetic[3];Communicative[2];Procrastinator[-3];Dismissive[-2],21
Bette-Ann,Resourceful[2];Leadership[4];Organized[2];Conflict-Averse[-2];Perfectionist (to a fault)[-1],38
Ashlen,Reliable[3];Flexible[2];Innovative[2];Uncooperative[-2];Stubborn[-1],29
Salomi,Communicative[2];Reliable[3];Time-Manager[3];Pessimistic[-1];Impulsive[-1],0
Tedi,Logical[3];Creative Thinker[2];Tech-Savvy[2];Unreliable[-3];Stubborn[-1],11
Maure,Supportive[2];Collaborative[2];Empathetic[3];Defensive[-1];Resistant to Change[-2],0
Elka,Innovative[2];Analytical[3];Collaborative[2];Aloof[-1];Micromanaging[-2],24
Maurita,Time-Manager[3];Resourceful[2];Innovative[2];Indecisive[-2];Moody[-1],36
Natividad,Leadership[4];Time-Manager[3];Resourceful[2];Narrow-Minded[-2];Dismissive[-2],35
Belle,Leadership[4];Detail-Oriented[3];Innovative[2];Passive[-1];Overbearing[-1],26
Rozina,Empathetic[3];Flexible[2];Strategic[3];Indecisive[-2];Skeptical[-1],18
Trixy,Collaborative[2];Leadership[4];Problem-Solver[3];Indecisive[-2];Easily Distracted[-1],4
Delila,Communicative[2];Mediator[2];Collaborative[2];Moody[-1];Dismissive[-2],36
Garnette,Empathetic[3];Time-Manager[3];Analytical[3];Dismissive[-2];Perfectionist (to a fault)[-1],13
Patricia,Problem-Solver[3];Mediator[2];Innovative[2];Intolerant[-2];Narrow-Minded[-2],6
Mia,Strategic[3];Leadership[4];Problem-Solver[3];Conflict-Averse[-2];Moody[-1],32
Sydel,Flexible[2];Time-Manager[3];Mediator[2];Intolerant[-2];Dismissive[-2],2
Tally,Communicative[2];Creative Thinker[2];Tech-Savvy[2];Unempathetic[-2];Uncooperative[-2],20
Genny,Time-Manager[3];Creative Thinker[2];Leadership[4];Aloof[-1];Conflict-Averse[-2],36
Nicola,Resourceful[2];Time-Manager[3];Organized[2];Overly Competitive[-1];Aloof[-1],18
Perl,Detail-Oriented[3];Collaborative[2];Strategic[3];Stubborn[-1];Dismissive[-2],2
Gwynne,Problem-Solver[3];Flexible[2];Analytical[3];Perfectionist (to a fault)[-1];Conflict-Averse[-2],29
Kora,Creative Thinker[2];Organized[2];Innovative[2];Rigid[-2];Pessimistic[-1],7
Maura,Tech-Savvy[2];Diplomatic[2];Time-Manager[3];Dismissive[-2];Intolerant[-2],5
Ruthanne,Flexible[2];Empathetic[3];Tech-Savvy[2];Uncooperative[-2];Pessimistic[-1],34
Noelyn,Leadership[4];Diplomatic[2];Innovative[2];Rigid[-2];Pessimistic[-1],29
Anderea,Organized[2];Flexible[2];Detail-Oriented[3];Non-communicative[-2];Skeptical[-1],13
Doll,Reliable[3];Creative Thinker[2];Logical[3];Micromanaging[-2];Overly Critical[-2],2
Ardith,Detail-Oriented[3];Tech-Savvy[2];Resourceful[2];Skeptical[-1];Perfectionist (to a fault)[-1],34
Ardelis,Organized[2];Empathetic[3];Creative Thinker[2];Overly Competitive[-1];Unempathetic[-2],9
Karmen,Resourceful[2];Time-Manager[3];Leadership[4];Overly Critical[-2];Unempathetic[-2],40
Anastasia,Time-Manager[3];Problem-Solver[3];Collaborative[2];Passive[-1];Unempathetic[-2],32
Lou,Reliable[3];Problem-Solver[3];Collaborative[2];Defensive[-1];Stubborn[-1],26
Felisha,Analytical[3];Mediator[2];Leadership[4];Impatient[-1];Easily Distracted[-1],3
Hyacinthe,Communicative[2];Innovative[2];Detail-Oriented[3];Skeptical[-1];Resistant to Change[-2],23
Ailis,Logical[3];Flexible[2];Time-Manager[3];Perfectionist (to a fault)[-1];Dismissive[-2],25
Frieda,Collaborative[2];Diplomatic[2];Logical[3];Impatient[-1];Impulsive[-1],25
Quintana,Strategic[3];Flexible[2];Detail-Oriented[3];Narrow-Minded[-2];Passive[-1],40
Aleece,Tech-Savvy[2];Strategic[3];Detail-Oriented[3];Rigid[-2];Dismissive[-2],19
Zorine,Empathetic[3];Innovative[2];Logical[3];Unreliable[-3];Impatient[-1],16
Dulce,Reliable[3];Resourceful[2];Creative Thinker[2];Procrastinator[-3];Uncooperative[-2],31
Shel,Time-Manager[3];Detail-Oriented[3];Tech-Savvy[2];Easily Distracted[-1];Passive[-1],4
Julissa,Mediator[2];Analytical[3];Problem-Solver[3];Perfectionist (to a fault)[-1];Uncooperative[-2],22
Mariette,Innovative[2];Analytical[3];Collaborative[2];Perfectionist (to a fault)[-1];Impulsive[-1],30
Eyde,Analytical[3];Collaborative[2];Supportive[2];Conflict-Averse[-2];Impatient[-1],11
Zena,Time-Manager[3];Supportive[2];Empathetic[3];Passive[-1];Uncooperative[-2],13
Antonie,Organized[2];Analytical[3];Strategic[3];Resistant to Change[-2];Aloof[-1],28
Marlee,Mediator[2];Innovative[2];Time-Manager[3];Impatient[-1];Pessimistic[-1],15
Georgeta,Reliable[3];Mediator[2];Detail-Oriented[3];Impatient[-1];Unempathetic[-2],31
Rhody,Innovative[2];Mediator[2];Resourceful[2];Pessimistic[-1];Narrow-Minded[-2],1
Modestine,Tech-Savvy[2];Reliable[3];Analytical[3];Aloof[-1];Impulsive[-1],2
Charity,Leadership[4];Analytical[3];Reliable[3];Indecisive[-2];Dismissive[-2],37
Genny,Reliable[3];Problem-Solver[3];Leadership[4];Overly Competitive[-1];Impulsive[-1],29
Kathryne,Empathetic[3];Leadership[4];Organized[2];Resistant to Change[-2];Procrastinator[-3],13
Heath,Problem-Solver[3];Flexible[2];Mediator[2];Procrastinator[-3];Stubborn[-1],18
Mallorie,Logical[3];Time-Manager[3];Mediator[2];Unreliable[-3];Overly Critical[-2],6
Elene,Analytical[3];Tech-Savvy[2];Creative Thinker[2];Conflict-Averse[-2];Impatient[-1],17
Brenn,Creative Thinker[2];Mediator[2];Supportive[2];Pessimistic[-1];Resistant to Change[-2],7
Sacha,Empathetic[3];Flexible[2];Logical[3];Pessimistic[-1];Overbearing[-1],10
Rosaline,Flexible[2];Detail-Oriented[3];Problem-Solver[3];Stubborn[-1];Overly Competitive[-1],22
Trudy,Diplomatic[2];Innovative[2];Creative Thinker[2];Aloof[-1];Indecisive[-2],16
Theresita,Strategic[3];Time-Manager[3];Empathetic[3];Unreliable[-3];Unempathetic[-2],0
Rita,Supportive[2];Mediator[2];Empathetic[3];Resistant to Change[-2];Micromanaging[-2],1
Shalne,Innovative[2];Empathetic[3];Time-Manager[3];Impulsive[-1];Indecisive[-2],0
Lib,Innovative[2];Resourceful[2];Tech-Savvy[2];Conflict-Averse[-2];Narrow-Minded[-2],29
Brittne,Tech-Savvy[2];Empathetic[3];Mediator[2];Procrastinator[-3];Non-communicative[-2],33
Analiese,Detail-Oriented[3];Analytical[3];Flexible[2];Aloof[-1];Dismissive[-2],13
Golda,Logical[3];Diplomatic[2];Tech-Savvy[2];Perfectionist (to a fault)[-1];Overly Competitive[-1],27
Jill,Time-Manager[3];Innovative[2];Creative Thinker[2];Passive[-1];Impulsive[-1],14
Geralda,Leadership[4];Resourceful[2];Analytical[3];Perfectionist (to a fault)[-1];Non-communicative[-2],2
Roda,Time-Manager[3];Tech-Savvy[2];Innovative[2];Overly Competitive[-1];Unreliable[-3],9
Rosa,Collaborative[2];Flexible[2];Detail-Oriented[3];Conflict-Averse[-2];Impatient[-1],17
Joana,Flexible[2];Leadership[4];Time-Manager[3];Aloof[-1];Dismissive[-2],10
Laetitia,Reliable[3];Empathetic[3];Leadership[4];Skeptical[-1];Impatient[-1],13
Josi,Analytical[3];Innovative[2];Flexible[2];Unempathetic[-2];Dismissive[-2],17
Karly,Mediator[2];Empathetic[3];Logical[3];Passive[-1];Moody[-1],12
Agnes,Resourceful[2];Detail-Oriented[3];Leadership[4];Passive[-1];Uncooperative[-2],29
Hattie,Empathetic[3];Leadership[4];Communicative[2];Overly Competitive[-1];Aloof[-1],32
Theressa,Innovative[2];Mediator[2];Tech-Savvy[2];Unempathetic[-2];Conflict-Averse[-2],19
Aviva,Mediator[2];Creative Thinker[2];Communicative[2];Procrastinator[-3];Rigid[-2],3
Rakel,Mediator[2];Creative Thinker[2];Collaborative[2];Intolerant[-2];Indecisive[-2],24
Christine,Resourceful[2];Creative Thinker[2];Empathetic[3];Perfectionist (to a fault)[-1];Uncooperative[-2],11
Starlin,Organized[2];Resourceful[2];Leadership[4];Intolerant[-2];Dismissive[-2],0
Marcela,Creative Thinker[2];Strategic[3];Flexible[2];Overly Critical[-2];Overly Competitive[-1],3
Cacilie,Detail-Oriented[3];Empathetic[3];Supportive[2];Dismissive[-2];Intolerant[-2],22
Tuesday,Detail-Oriented[3];Strategic[3];Supportive[2];Overly Competitive[-1];Overly Critical[-2],16
Nerte,Problem-Solver[3];Analytical[3];Organized[2];Procrastinator[-3];Resistant to Change[-2],38
Kathy,Problem-Solver[3];Logical[3];Supportive[2];Resistant to Change[-2];Impulsive[-1],10
Angelique,Communicative[2];Creative Thinker[2];Supportive[2];Indecisive[-2];Perfectionist (to a fault)[-1],35
Stephi,Collaborative[2];Reliable[3];Strategic[3];Overly Competitive[-1];Defensive[-1],27
Daphne,Communicative[2];Tech-Savvy[2];Mediator[2];Conflict-Averse[-2];Overly Critical[-2],35
Dynah,Strategic[3];Logical[3];Empathetic[3];Non-communicative[-2];Passive[-1],6
Binny,Resourceful[2];Detail-Oriented[3];Collaborative[2];Passive[-1];Perfectionist (to a fault)[-1],8
Ida,Resourceful[2];Reliable[3];Strategic[3];Micromanaging[-2];Non-communicative[-2],2
Dalenna,Diplomatic[2];Communicative[2];Flexible[2];Resistant to Change[-2];Moody[-1],3
Kimmie,Problem-Solver[3];Leadership[4];Analytical[3];Moody[-1];Intolerant[-2],31
Carmel,Innovative[2];Detail-Oriented[3];Supportive[2];Passive[-1];Resistant to Change[-2],40
Evaleen,Flexible[2];Analytical[3];Tech-Savvy[2];Unempathetic[-2];Intolerant[-2],15
Deni,Organized[2];Strategic[3];Time-Manager[3];Uncooperative[-2];Conflict-Averse[-2],35
Olive,Leadership[4];Reliable[3];Time-Manager[3];Indecisive[-2];Dismissive[-2],38
Livvyy,Creative Thinker[2];Diplomatic[2];Flexible[2];Non-communicative[-2];Aloof[-1],28
Doralin,Innovative[2];Supportive[2];Detail-Oriented[3];Aloof[-1];Intolerant[-2],36
Christal,Reliable[3];Mediator[2];Leadership[4];Resistant to Change[-2];Unreliable[-3],25
Kai,Tech-Savvy[2];Strategic[3];Creative Thinker[2];Indecisive[-2];Perfectionist (to a fault)[-1],33
Claudina,Empathetic[3];Resourceful[2];Reliable[3];Defensive[-1];Indecisive[-2],8
Cammie,Creative Thinker[2];Detail-Oriented[3];Tech-Savvy[2];Uncooperative[-2];Non-communicative[-2],15
Clerissa,Analytical[3];Supportive[2];Tech-Savvy[2];Intolerant[-2];Skeptical[-1],32
Elvira,Organized[2];Flexible[2];Resourceful[2];Micromanaging[-2];Skeptical[-1],0
Bernette,Tech-Savvy[2];Flexible[2];Communicative[2];Passive[-1];Micromanaging[-2],35
Renee,Collaborative[2];Innovative[2];Leadership[4];Defensive[-1];Procrastinator[-3],31
Crysta,Diplomatic[2];Reliable[3];Supportive[2];Non-communicative[-2];Overly Critical[-2],25
Annadiane,Reliable[3];Empathetic[3];Logical[3];Indecisive[-2];Moody[-1],39
Jana,Leadership[4];Strategic[3];Organized[2];Easily Distracted[-1];Skeptical[-1],9
Farica,Logical[3];Diplomatic[2];Innovative[2];Intolerant[-2];Unreliable[-3],29
Concordia,Diplomatic[2];Mediator[2];Supportive[2];Unempathetic[-2];Stubborn[-1],3
Daffi,Strategic[3];Analytical[3];Resourceful[2];Uncooperative[-2];Defensive[-1],27
Serene,Logical[3];Creative Thinker[2];Reliable[3];Unempathetic[-2];Overly Competitive[-1],34
Dehlia,Problem-Solver[3];Logical[3];Flexible[2];Conflict-Averse[-2];Moody[-1],33
Noni,Organized[2];Resourceful[2];Empathetic[3];Overly Competitive[-1];Stubborn[-1],3
Louella,Detail-Oriented[3];Supportive[2];Diplomatic[2];Narrow-Minded[-2];Dismissive[-2],4
Florie,Reliable[3];Problem-Solver[3];Detail-Oriented[3];Defensive[-1];Overly Competitive[-1],14
Lotte,Logical[3];Leadership[4];Detail-Oriented[3];Micromanaging[-2];Moody[-1],4
Aubine,Logical[3];Organized[2];Supportive[2];Procrastinator[-3];Indecisive[-2],36
Amie,Flexible[2];Collaborative[2];Strategic[3];Impatient[-1];Unreliable[-3],27
Lacie,Detail-Oriented[3];Time-Manager[3];Tech-Savvy[2];Impulsive[-1];Unempathetic[-2],21
Willabella,Resourceful[2];Flexible[2];Problem-Solver[3];Resistant to Change[-2];Pessimistic[-1],22
Carmita,Detail-Oriented[3];Strategic[3];Reliable[3];Procrastinator[-3];Pessimistic[-1],9
Traci,Communicative[2];Reliable[3];Tech-Savvy[2];Indecisive[-2];Narrow-Minded[-2],25
Wilhelmine,Time-Manager[3];Organized[2];Leadership[4];Unreliable[-3];Stubborn[-1],36
Eden,Creative Thinker[2];Supportive[2];Logical[3];Impatient[-1];Intolerant[-2],23
Rickie,Mediator[2];Logical[3];Strategic[3];Overly Critical[-2];Intolerant[-2],34
Kirbie,Time-Manager[3];Resourceful[2];Analytical[3];Uncooperative[-2];Defensive[-1],8
Tarrah,Innovative[2];Time-Manager[3];Analytical[3];Pessimistic[-1];Moody[-1],17
Kelsi,Organized[2];Supportive[2];Resourceful[2];Indecisive[-2];Overly Competitive[-1],11
Juditha,Flexible[2];Mediator[2];Resourceful[2];Conflict-Averse[-2];Impatient[-1],11
Ofelia,Flexible[2];Analytical[3];Logical[3];Indecisive[-2];Defensive[-1],31
Daffie,Collaborative[2];Problem-Solver[3];Empathetic[3];Rigid[-2];Unreliable[-3],35
Alla,Creative Thinker[2];Time-Manager[3];Problem-Solver[3];Easily Distracted[-1];Impatient[-1],14
Bernita,Flexible[2];Problem-Solver[3];Logical[3];Micromanaging[-2];Rigid[-2],16
Francene,Diplomatic[2];Analytical[3];Creative Thinker[2];Non-communicative[-2];Skeptical[-1],8
Peta,Organized[2];Resourceful[2];Strategic[3];Narrow-Minded[-2];Defensive[-1],8
Marinna,Creative Thinker[2];Innovative[2];Organized[2];Impulsive[-1];Dismissive[-2],37
Evangelin,Supportive[2];Flexible[2];Empathetic[3];Unempathetic[-2];Skeptical[-1],28
Karita,Communicative[2];Logical[3];Creative Thinker[2];Narrow-Minded[-2];Resistant to Change[-2],22
Afton,Organized[2];Innovative[2];Creative Thinker[2];Overly Critical[-2];Pessimistic[-1],29
Jacklin,Analytical[3];Leadership[4];Tech-Savvy[2];Micromanaging[-2];Pessimistic[-1],34
Vallie,Innovative[2];Mediator[2];Analytical[3];Non-communicative[-2];Narrow-Minded[-2],1
Helen,Detail-Oriented[3];Flexible[2];Innovative[2];Micromanaging[-2];Perfectionist (to a fault)[-1],8
Krissy,Collaborative[2];Logical[3];Diplomatic[2];Narrow-Minded[-2];Conflict-Averse[-2],0
Corliss,Problem-Solver[3];Time-Manager[3];Communicative[2];Stubborn[-1];Easily Distracted[-1],12
Raychel,Mediator[2];Logical[3];Innovative[2];Non-communicative[-2];Indecisive[-2],10
Damita,Creative Thinker[2];Tech-Savvy[2];Strategic[3];Unempathetic[-2];Skeptical[-1],20
Nanete,Supportive[2];Flexible[2];Analytical[3];Easily Distracted[-1];Non-communicative[-2],0
Aimil,Empathetic[3];Supportive[2];Detail-Oriented[3];Aloof[-1];Indecisive[-2],19
Amelina,Reliable[3];Flexible[2];Empathetic[3];Intolerant[-2];Easily Distracted[-1],4
Brana,Diplomatic[2];Mediator[2];Collaborative[2];Non-communicative[-2];Intolerant[-2],14
Kacie,Mediator[2];Innovative[2];Empathetic[3];Non-communicative[-2];Uncooperative[-2],33
Valida,Diplomatic[2];Reliable[3];Organized[2];Dismissive[-2];Intolerant[-2],19
Heddie,Tech-Savvy[2];Detail-Oriented[3];Creative Thinker[2];Passive[-1];Micromanaging[-2],10
Reine,Problem-Solver[3];Creative Thinker[2];Tech-Savvy[2];Moody[-1];Intolerant[-2],0
Reiko,Time-Manager[3];Diplomatic[2];Detail-Oriented[3];Impulsive[-1];Resistant to Change[-2],38
Monica,Mediator[2];Detail-Oriented[3];Empathetic[3];Easily Distracted[-1];Conflict-Averse[-2],4
Janis,Empathetic[3];Collaborative[2];Diplomatic[2];Defensive[-1];Stubborn[-1],12
Kirsteni,Innovative[2];Organized[2];Supportive[2];Non-communicative[-2];Unreliable[-3],37
